Title,Description,Published Date,Video URL
Glenn Miller and his Orchestra Radio Broadcasts (Spring 1940),Please Note: These broadcasts and images are owned by the Estate of Glenn Miller and courtesy of Sony Legacy and the Estate ...,2017-07-23T14:40:57Z,https://www.youtube.com/watch?v=w53v0SwRzEM
Mountain Music / Tommy Dorsey and his Orchestra,"Mountain Music Tommy Dorsey and his Orchestra Vocal refrain by Edythe Wright Victor 25581 (010129-1) Tommy Dorsey(tb,dir); ...",2021-07-02T22:55:07Z,https://www.youtube.com/watch?v=-VVwZlJWLD0
The Orginal Benny Goodman Quartet 1973-After You&#39;ve Gone,"(This Is A Audio Recording) This Was Recording At Carnegie Hall, NY June 29, 1973 By The Orignal Benny Goodman Quartet ...",2018-01-22T05:32:58Z,https://www.youtube.com/watch?v=ugkj25VPZxg
Lady of Mystery / Teddy Wilson and his Orchestra,"Lady of Mystery Teddy Wilson and his Orchestra Columbia 35207 B (WB 24934-A) Karl George, Harold Baker(tp); Floyd Brady(tb); ...",2021-04-03T04:16:19Z,https://www.youtube.com/watch?v=iuuPbV-dnPo
"Cotton Club Stomp (June 6, 1939) / Duke Ellington and his Famous Orchestra","Cotton Club Stomp (June 6, 1939) Duke Ellington and his Famous Orchestra Brunswick m8405 (WM 1030-A) Duke Ellington(p ...",2018-01-31T03:39:02Z,https://www.youtube.com/watch?v=7rMY20aKmpI
♪Smada / Duke Ellington and his Orchestra,"Smada Duke Ellington and his Orchestra Clarinet Solo - Jimmy Hamilton Okeh 6911 (co 47020-1) Cat Anderson, Nelson Williams, ...",2021-05-25T01:45:46Z,https://www.youtube.com/watch?v=s7-8ILJNjN0
Put That Down In Writing (1939) - Mary Ann McCall,from Decca 2762 78 rpm with Woody Herman and his orchestra Music by Harry Warren - Lyrics by Al Dubin.,2021-10-25T10:39:33Z,https://www.youtube.com/watch?v=mDLLWVtFhmo
1942 GLENN MILLER Skylark RAY EBERLE vocals - 78 RPM Record - Big Band,Glenn Miller And His Orchestra – Skylark Fox Trot - Vocal refrain by Ray Eberle Written by Johnny Mercer and Hoagy Carmichael ...,2023-01-13T11:00:08Z,https://www.youtube.com/watch?v=VZzhabpSmQ4
"Michel Warlop et son Orchestre - Serenade For A Wealthy Widow - 1937 December 21 - Swing, Paris","Michel Warlop et son Orchestre Michel Warlop (v); A.Pico (tp); André Lamory, Jean Magnien, Charles Schaaf (cl & s); Paquay (fl ...",2013-01-01T16:26:54Z,https://www.youtube.com/watch?v=NC6YVZi8aTM
"Michel Warlop &amp; Aimé Simon-Girard - L&#39;Amour En Fleur - Paris, 11.13.1934",Michel Warlop Et Son Orchestre Roger Grasset (b); Alix Combelle (ts); Michel Warlop (ldr) Charles Lisée (Bars) Aimé ...,2011-11-20T16:33:58Z,https://www.youtube.com/watch?v=6rQW9JO7XAw
"Michel Warlop &amp; Aimé Simon-Girard - Deux Cigarettes Dans L&#39;Ombre - Paris, 11.13.1934",Michel Warlop Et Son Orchestre Roger Grasset (b); Alix Combelle (ts); Michel Warlop (ldr) Charles Lisée (Bars) Aimé ...,2011-11-20T16:48:18Z,https://www.youtube.com/watch?v=2hbbc7uGkTI
"Germaine Sablon &amp; Michel Warlop - Je Voudrais Vivre - Paris, 11.13.1934",Germaine Sablon (vo) - acc. by Michel Warlop et son Orchestre: Roger Grasset (b); Alix Combelle (ts); Michel Warlop (ldr); ...,2011-11-21T12:51:46Z,https://www.youtube.com/watch?v=VsHt1fN92ro
"Serenade For A Wealthy Widow- Michel Warlop Et Son Orchestra (w/Django Reinhardt, guitar) - Swing 28","MICHEL WARLOP ET SON ORCHESTRE: A. Pico, t / Jean Magnien, cl / Andre Lamory, as / Charles Shaaf, ts / __ Paquay, ...",2025-02-12T15:54:27Z,https://www.youtube.com/watch?v=lAJV7-yp9-I
Hal Kemp and his Orchestra:  &quot;Serenade For a Wealthy Widow&quot;  (1934),"John Scott Trotter at the piano Recorded Sept. 14, 1934 and released on shellac BRUNSWICK 78 #7319 (CP B 1116) Reissued ...",2022-03-27T02:26:56Z,https://www.youtube.com/watch?v=uUlx6vaSaAs
Low Ceiling / Beryl Booker Trio,"RCA Victor 40-0147-A (D6VB3030) Mary Osborne(el-g) Beryl Booker(p) June Rotenberg(b) New York, October 8, 1946.",2017-09-15T05:14:51Z,https://www.youtube.com/watch?v=vWGTvmrW_3c
If I had you - Black &amp; White 1209A - 1944,"IF I HAD YOU (Campbell - Connelly - Shapiro) NAT JAFFE TRIO NAT JAFFE, piano; REMO PALMIERI, guitar; LEO GUARNIERI, ...",2020-11-01T16:19:08Z,https://www.youtube.com/watch?v=QePPkXi-sXs
A hundred years from today - Black &amp; White 1209B - 1944,"A HUNDRED YEARS FROM TODAY (Washington - Young) NAT JAFFE TRIO NAT JAFFE, piano; REMO PALMIERI, guitar; LEO ...",2021-09-26T18:28:12Z,https://www.youtube.com/watch?v=jXZJJVcKeBw
"Django Reinhardt &amp; Michel Warlop - Taj Mahal - Paris, 21.12.1937","Michel Warlop et son Orchestre Michel Warlop (vln); André Lamory, Jean Magnien, Charles Schaaf (cl & s); Pierre Zeppilli (p); ...",2010-05-03T12:08:26Z,https://www.youtube.com/watch?v=MN1u2-Vfuzs
Michel Warlop Et Son Orchestre - Crazy Strings,"Michel Warlop and his Orchestra Alex Renard (tp) Maurice Cizeron (as, fl, cl) Alix Combelle (ts) Michael Warlop (vln, leader) Emil ...",2020-10-22T22:26:56Z,https://www.youtube.com/watch?v=gWavP9zDA88
